fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),insurance_validity_Comprehensive,insurance_validity_Third Party,insurance_validity_Third Party insurance,insurance_validity_Zero Dep,origin_country_Czech Republic,origin_country_France,origin_country_Germany,origin_country_India,origin_country_Japan,origin_country_South Korea,origin_country_Sweden,origin_country_United Kingdom,origin_country_United States
2,5.0,0.5907975976388228,4.0,2,0.27555187030252987,-0.2443825007050594,0.5337065744197077,0.5337065744197077,-0.7087196269692306,10.9,False,False,True,False,False,False,False,False,False,True,False,False,False
3,5.0,2.007917540030898,4.0,1,-0.09077544891241672,-0.2436294712358219,-0.39206329863760336,-0.39206329863760336,-0.7805409739873777,3.95,False,False,True,False,False,False,False,False,True,False,False,False,False
1,5.0,-0.859088123768098,4.0,1,1.740861147162316,-0.21091034079745274,-0.3896524395931833,-0.3896524395931833,-0.9250927989985848,7.25,True,False,False,False,False,False,False,True,False,False,False,False,False
3,4.0,-0.4495158860825271,4.0,2,-2.6550666834170427,-0.26930777613682044,1.5028719102765802,1.5028719102765802,-0.7301751179771834,11.95,True,False,False,False,False,False,True,False,False,False,False,False,False
3,5.0,-1.6667645764840437,4.0,2,2.1071884663772624,-0.24137038282810938,0.3311944146884209,0.3311944146884209,1.231911352080598,16.0,True,False,False,False,False,False,False,False,True,False,False,False,False
3,5.0,-1.379982095656607,4.0,1,-0.8234300873423098,-0.230074940789547,-0.39447415768202343,-0.39447415768202343,-0.787086717006753,5.45,True,False,False,False,False,False,False,True,False,False,False,False,False
3,5.0,-0.8386095118838195,4.0,2,0.6418791895174764,-0.25643097221285927,1.5342130778540413,1.5342130778540413,1.8235737905541427,22.95,False,False,True,False,False,False,False,False,True,False,False,False,False
2,5.0,0.40055129323387517,4.0,1,1.008206508732423,-0.23233402919725948,0.3191401194663205,0.3191401194663205,1.124270244650869,13.51,True,False,False,False,False,False,False,False,False,True,False,False,False
3,5.0,-1.0638742426108834,3.0,2,1.3745338279473696,-0.265843840578328,1.4209027027662975,1.4209027027662975,2.7192496270386792,40.75,True,False,False,False,False,False,True,False,False,False,False,False,False
3,5.0,0.3416138482309215,4.0,2,1.008206508732423,-0.24965370698972184,-0.018380146752490816,-0.018380146752490816,-0.9130922701297298,13.99,True,False,False,False,False,False,False,False,False,True,False,False,False
